	fluxes
PPBNGS_pl	0.16272564004361964
3OAR60_pl	0.0
GLU5K_c	0.0
GLUGLUb_pl	0.0
C3STDH1P_c	0.0
DHKAEMPFEROL35H2_c	0.0
PPTT__c	0.0
A1E_c	0.0
SINK_arg_L_c	0.0
CES2_c	0.07422969039934638
ARG_Lt2_cm	0.0
6DEOXCATHSTERS_c	0.0
3HBUTCOADH_x	0.0
SECOLOGANATES_c	0.0
GLYC3Pt_ce	0.0
OCBT_pl	0.24147832646761364
CYANIDIN35DGIDEAT_c	0.0
ASCBOR4_x	0.0
CINNM2H_c	0.0
HDCEAt2_plc	0.0
MALTh_pl	0.0
COUMARINS_c	0.0
1DEOXY1IMINOE4PS_c	0.0
CYSt_cpl	0.0
HMR_1549_c	0.0
R2370_c	0.0
RBFK_c	0.0
R07454_c	0.0
XYLTD_D_c	0.0
GA4DO_c	0.0
FUM_m	1.6862481184447495
ADNCYC_c	0.0
DSMSTOLR_c	0.0
PMDPHT_c	0.0
GA2DOc_c	0.0
LTA4H_c	0.0
MPEAMT_c	0.0
AM_A2_pl	0.0
DURADx_c	0.0
THP2CDH_c	0.0
ITKPK_c	0.0
TDSK_c	0.0
ETOHt_ce	0.0
UGLT_c	0.0
ACONTa_c	1.281088793764031
H2Ot_typl	-237.1862546868374
PYRtdiff_cpl	-0.5297621455794644
GSNK_c	0.0
METS_pl	0.0
MBDST_c	0.0
CAT_x	0.6277883902186626
42A12BOOX_c	0.0
IDOND2_c	0.0
G6PIAB_c	0.0
LEUTA_pl	-0.2735377579563531
MPTAT_c	0.0
ILEMO_c	0.0
CS_x	1.3322711418800175
ARGDC_c	0.0
ASCOXIDORED_pl	0.12204423003271476
OMCDC_pl	0.27353775795635304
PHOTONt_plc	-1000.0
OPR_c	0.0
MALT_c	0.0
ASPCT2_c	0.0
3HNMCOCLAURINEMT_c	0.0
FACOAL120_pl	0.0
PPIF6PK_c	0.0
NERYLPYROPS_c	0.0
G6PDH2_c	0.0
3BZOXPGLATES_c	0.0
6OMEMYCOLTRE6PP_c	0.0
PPC_c	0.0
PPDK_pl	0.0
PC1829Z12Z1839Z12Z15ZDS_c	0.0
ATPt_cx	0.0
GALLOCATECHINR_c	0.0
IND3ACETALDOXIMES_c	0.0
CDPMEK_pl	0.16272564004361964
NDPK6_pl	0.0
IG3PS_pl	0.30216907350805944
AIRC3_c	0.0
ACS2_c	0.0
DELPHINIDIN3O6OMALBGIDEGT_c	0.0
10HDHSANGUINARINEMT_c	0.0
NTD7_c	0.0
PRATPP_pl	0.3021690735080593
I3PL_pl	0.0
XAH_c	0.0
ACCOAC_c	0.010010227628575888
ABARS_c	0.0
acon_C_cit_tx_m__c	0.0
NADPHox_pl	0.0
FACOAE160_c	0.0
GALACTOSYLSEQUOYITOLS_c	0.0
TALA_pl	0.0
GDPDPK_c	0.0
ALCD2x_c	0.0
SINK_glyc_c	0.0
NH4t_cx	0.0
1PROPENYLSULFENATEI_c	0.0
MAN6PI_c	-0.018909734525597577
PHEACETOTHHXIMATEGT_c	0.0
2AHHMPt_cm	0.0
Pit6_erc	0.0
OLEANOLATEUGT_c	0.0
GHMT_m	0.0
PSI_plty	525.6274906263252
UAMAS_c	0.0
ACGAMPM_c	0.0
ca2_tx_v__v	0.0
HGNTOR_c	0.0
G6PADH_c	0.6199204923874978
SINK_asn_L_c	0.0
SOTA_c	0.0
SAM24MT_c	0.0
CYTDH_c	0.0
SSALx_m	0.0
GTPCI_c	0.0
RCCR_c	0.0
R07442_c	0.0
ADNK1_c	0.0
CO2tdiff_cpl	103.93203531728383
GDPDGLUCT6PS_c	0.0
EX_BORIC_eb	0.0
GALACTOPINITOLAS_c	0.0
MGDG1819Z1627Z10ZDS2_c	0.0
UDCPDP_c	0.0
GLXCL_c	0.0
EX_fe2_eb	0.0
PGIA_c	-0.6199204923874978
SINK_pro_L_c	0.0
PSLS_c	0.0
2DP6MEPS_c	0.0
PAPPT3_c	0.0
R2912_c	0.0
FA161ACPHi_pl	0.0
MTHFC_m	0.0
P5CD1p_m	0.0
PUNP6_c	0.0
MOAT2_c	0.0
SINK_g6p_c	0.0
R07675_c	0.018909734525597573
EX_mn2_eb	0.0
N6DIMALLA5PS_c	0.0
POLYAO2_c	0.0
GMPS_c	0.22207593912221943
IPPMIa_pl	0.2735377579563531
EX_PI_eb	-1.4653295043285932
MDHAR_c	0.0
H2CO3D_c	0.0
MPMT_pl	0.04068141001090492
EX_ala_B_eb	0.0
R05039_c	0.0
NDPK1_pl	0.8879668958788893
LARICIRESINOLRD_c	0.0
PRET3_c	0.0
UF3GTK_c	0.0
DHPS2_m	0.0
NH4t_ec	7.75450382729717
3OAR180_m	0.0
SINK_Starch_plb	0.0
4CMCOAS_c	0.0
GK1_pl	0.0
